#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 02 03 22 00  44  6.9  8.2 99.00 99.00 99.00 999 1024.6  13.8  17.6   9.0 99.0 99.00
2017 02 03 22 30  50  7.8  9.3 99.00 99.00 99.00 999 1024.3  14.1  17.5   9.2 99.0 99.00
2017 02 03 23 00  51  7.9  9.1 99.00 99.00 99.00 999 1024.6  14.3  17.5   9.0 99.0 99.00
2017 02 03 23 30  57  7.5  9.1 99.00 99.00 99.00 999 1025.1  14.5  17.5   9.7 99.0 99.00
2017 02 04 00 30  59  7.4  8.8 99.00 99.00 99.00 999 1026.2  15.1  17.5   9.6 99.0 99.00
2017 02 04 01 00  60  7.1  8.8 99.00 99.00 99.00 999 1026.4  15.0  17.5   8.9 99.0 99.00
2017 02 04 01 30  58  7.7  9.4 99.00 99.00 99.00 999 1026.2  14.9  17.5   9.2 99.0 99.00
2017 02 04 02 00  56  7.9  9.6 99.00 99.00 99.00 999 1026.9  14.8  17.5   9.0 99.0 99.00
2017 02 04 02 30  62  7.7  9.5 99.00 99.00 99.00 999 1027.3  14.8  17.5   8.7 99.0 99.00
2017 02 04 03 00  63  8.1 10.0 99.00 99.00 99.00 999 1027.2  14.7  17.5   9.2 99.0 99.00
2017 02 04 03 30  70  8.2 10.2 99.00 99.00 99.00 999 1027.3  14.6  17.5   8.5 99.0 99.00
2017 02 04 04 00  39  8.2  9.8 99.00 99.00 99.00 999 1027.1  13.5  17.5   9.0 99.0 99.00
2017 02 04 04 30  42  8.2  9.6 99.00 99.00 99.00 999 1027.2  12.9  17.5   9.1 99.0 99.00
2017 02 04 05 00  54  8.1  9.7 99.00 99.00 99.00 999 1027.1  13.0  17.5   8.9 99.0 99.00
2017 02 04 05 30  54  8.0  9.5 99.00 99.00 99.00 999 1026.9  13.0  17.4   9.5 99.0 99.00
2017 02 04 06 00  71  8.4 10.0 99.00 99.00 99.00 999 1026.7  13.2  17.4   9.6 99.0 99.00
2017 02 04 06 30  78  8.3  9.8 99.00 99.00 99.00 999 1026.5  13.1  17.4   9.3 99.0 99.00
2017 02 04 07 00  76  8.4 10.5 99.00 99.00 99.00 999 1026.3  13.0  17.3   8.6 99.0 99.00
2017 02 04 07 30  81  8.7 10.4 99.00 99.00 99.00 999 1025.5  12.9  17.4   9.0 99.0 99.00
2017 02 04 08 00  80  7.9  9.8 99.00 99.00 99.00 999 1026.1  12.9  17.4   9.6 99.0 99.00
2017 02 04 08 30  83  8.7 10.4 99.00 99.00 99.00 999 1025.0  12.8  17.4   8.9 99.0 99.00
2017 02 04 09 00  84  8.3 10.2 99.00 99.00 99.00 999 1025.1  12.9  17.4   9.4 99.0 99.00
2017 02 04 09 30  87  7.8 10.1 99.00 99.00 99.00 999 1025.3  12.8  17.3   8.8 99.0 99.00
2017 02 04 10 00  83  8.1  9.4 99.00 99.00 99.00 999 1025.1  12.8  17.4   9.9 99.0 99.00
2017 02 04 10 30  79  7.3  8.6 99.00 99.00 99.00 999 1025.1  12.6  17.3   9.1 99.0 99.00
2017 02 04 11 00  74  7.7  9.5 99.00 99.00 99.00 999 1024.9  12.5  17.3   9.2 99.0 99.00
2017 02 04 11 30  89  8.2 10.2 99.00 99.00 99.00 999 1024.6  12.7  17.3   9.4 99.0 99.00
2017 02 04 12 00  90  7.8  9.7 99.00 99.00 99.00 999 1024.5  12.6  17.3   9.6 99.0 99.00
2017 02 04 12 30  94  7.8 10.0 99.00 99.00 99.00 999 1024.6  12.5  17.3   9.4 99.0 99.00
2017 02 04 13 00  96  8.3 10.2 99.00 99.00 99.00 999 1024.6  12.6  17.3  10.1 99.0 99.00
2017 02 04 13 30  92  8.2  9.7 99.00 99.00 99.00 999 1024.7  12.6  17.3  10.1 99.0 99.00
2017 02 04 14 00  93  8.0  9.7 99.00 99.00 99.00 999 1024.8  12.8  17.3  10.6 99.0 99.00
2017 02 04 14 30  96  8.9 10.5 99.00 99.00 99.00 999 1024.7  13.2  17.3  11.0 99.0 99.00
2017 02 04 15 00  95  8.8 10.6 99.00 99.00 99.00 999 1024.8  13.5  17.3  11.3 99.0 99.00
2017 02 04 15 30  92  7.8  9.2 99.00 99.00 99.00 999 1025.5  13.7  17.3  11.3 99.0 99.00
2017 02 04 16 00  90  8.4  9.9 99.00 99.00 99.00 999 1025.5  13.9  17.3  11.4 99.0 99.00
2017 02 04 16 30  90  8.5 10.3 99.00 99.00 99.00 999 1025.3  14.2  17.3  12.0 99.0 99.00
2017 02 04 17 00  93  8.2  9.5 99.00 99.00 99.00 999 1025.7  14.5  17.3  12.2 99.0 99.00
2017 02 04 17 30  94  8.1  9.4 99.00 99.00 99.00 999 1025.1  14.7  17.3  12.2 99.0 99.00
2017 02 04 18 00  96  8.1  9.5 99.00 99.00 99.00 999 1024.6  14.7  17.3  12.5 99.0 99.00
2017 02 04 18 30  96  7.8  9.1 99.00 99.00 99.00 999 1024.1  14.6  17.3  12.5 99.0 99.00
2017 02 04 19 00  96  7.3  8.6 99.00 99.00 99.00 999 1023.4  14.6  17.3  12.7 99.0 99.00
2017 02 04 19 30  98  7.2  8.5 99.00 99.00 99.00 999 1022.9  14.7  17.3  13.0 99.0 99.00
2017 02 04 20 00  99  7.8  9.2 99.00 99.00 99.00 999 1022.3  14.8  17.4  13.1 99.0 99.00
2017 02 04 20 30 105  7.7  9.0 99.00 99.00 99.00 999 1021.9  15.0  17.4  13.2 99.0 99.00
2017 02 04 21 00 108  7.9  9.0 99.00 99.00 99.00 999 1021.4  15.2  17.4  13.5 99.0 99.00
2017 02 04 21 30 111  7.9  9.3 99.00 99.00 99.00 999 1021.2  15.4  17.4  13.9 99.0 99.00
2017 02 04 22 00 113  7.8  9.3 99.00 99.00 99.00 999 1021.1  15.6  17.4  14.0 99.0 99.00
2017 02 04 22 30 115  7.3  8.9 99.00 99.00 99.00 999 1020.9  15.8  17.4  14.2 99.0 99.00
2017 02 04 23 00 114  7.2  8.4 99.00 99.00 99.00 999 1021.0  16.0  17.5  14.5 99.0 99.00
2017 02 04 23 30 115  7.3  9.1 99.00 99.00 99.00 999 1020.9  16.1  17.5  14.7 99.0 99.00
2017 02 05 00 30 129  7.5  9.3 99.00 99.00 99.00 999 1021.0  16.6  17.5  15.3 99.0 99.00
2017 02 05 01 00 132  7.5  8.7 99.00 99.00 99.00 999 1020.9  16.7  17.5  15.4 99.0 99.00
2017 02 05 01 30 129  7.1  8.6 99.00 99.00 99.00 999 1020.9  16.8  17.5  15.6 99.0 99.00
2017 02 05 02 00 129  6.7  7.8 99.00 99.00 99.00 999 1021.1  16.9  17.5  15.8 99.0 99.00
2017 02 05 02 30 129  5.8  6.7 99.00 99.00 99.00 999 1021.2  16.9  17.5  15.9 99.0 99.00
2017 02 05 03 00 131  5.6  6.4 99.00 99.00 99.00 999 1021.1  16.9  17.5  16.0 99.0 99.00
2017 02 05 03 30 129  5.1  6.0 99.00 99.00 99.00 999 1021.1  17.2  17.5  16.3 99.0 99.00
2017 02 05 04 00 141  5.1  6.3 99.00 99.00 99.00 999 1020.9  17.2  17.5  16.4 99.0 99.00
2017 02 05 04 30 142  5.5  6.4 99.00 99.00 99.00 999 1020.8  17.3  17.4  16.5 99.0 99.00
2017 02 05 05 00 147  5.6  6.4 99.00 99.00 99.00 999 1020.4  17.3  17.4  16.5 99.0 99.00
2017 02 05 05 30 147  5.9  6.9 99.00 99.00 99.00 999 1020.2  17.5  17.4  16.7 99.0 99.00
2017 02 05 06 00 150  5.8  7.1 99.00 99.00 99.00 999 1019.8  17.6  17.4  16.8 99.0 99.00
2017 02 05 06 30 151  4.7  5.7 99.00 99.00 99.00 999 1019.7  17.5  17.4  16.8 99.0 99.00
2017 02 05 07 00 151  3.8  4.4 99.00 99.00 99.00 999 1019.8  17.4  17.4  16.7 99.0 99.00
2017 02 05 07 30 150  4.3  4.8 99.00 99.00 99.00 999 1019.2  17.3  17.4  16.7 99.0 99.00
2017 02 05 08 00 157  5.0  6.0 99.00 99.00 99.00 999 1018.9  17.3  17.3  16.7 99.0 99.00
2017 02 05 08 30 160  4.7  5.7 99.00 99.00 99.00 999 1018.9  17.4  17.3  16.8 99.0 99.00
2017 02 05 09 00 159  4.7  5.5 99.00 99.00 99.00 999 1018.6  17.4  17.3  16.8 99.0 99.00
2017 02 05 09 30 160  4.5  5.3 99.00 99.00 99.00 999 1018.4  17.3  17.3  16.8 99.0 99.00
2017 02 05 10 00 164  4.5  5.4 99.00 99.00 99.00 999 1018.6  17.4  17.3  16.9 99.0 99.00
2017 02 05 10 30 159  3.7  4.5 99.00 99.00 99.00 999 1018.9  17.5  17.3  17.0 99.0 99.00
2017 02 05 11 00 154  3.3  3.7 99.00 99.00 99.00 999 1018.8  17.3  17.3  16.8 99.0 99.00
2017 02 05 11 30 145  2.8  3.4 99.00 99.00 99.00 999 1018.9  17.1  17.3  16.6 99.0 99.00
2017 02 05 12 00 143  2.5  2.9 99.00 99.00 99.00 999 1019.2  17.1  17.3  16.7 99.0 99.00
2017 02 05 12 30 132  2.4  2.7 99.00 99.00 99.00 999 1019.6  17.1  17.3  16.7 99.0 99.00
2017 02 05 13 00 126  2.1  2.5 99.00 99.00 99.00 999 1019.9  17.0  17.3  16.6 99.0 99.00
2017 02 05 13 30 109  2.2  2.7 99.00 99.00 99.00 999 1020.0  17.0  17.3  16.6 99.0 99.00
2017 02 05 14 00 114  2.7  3.3 99.00 99.00 99.00 999 1020.2  17.0  17.4  16.6 99.0 99.00
2017 02 05 14 30 113  2.7  3.1 99.00 99.00 99.00 999 1020.6  17.0  17.4  16.5 99.0 99.00
2017 02 05 15 00 120  2.6  3.2 99.00 99.00 99.00 999 1021.0  17.6  17.4  16.9 99.0 99.00
2017 02 05 15 30 125  2.8  3.3 99.00 99.00 99.00 999 1021.2  17.4  17.4  16.8 99.0 99.00
2017 02 05 16 00 129  2.7  3.1 99.00 99.00 99.00 999 1021.5  17.4  17.4  16.8 99.0 99.00
2017 02 05 16 30 139  2.3  2.6 99.00 99.00 99.00 999 1021.6  17.4  17.4  16.8 99.0 99.00
2017 02 05 17 00 135  2.8  3.2 99.00 99.00 99.00 999 1021.5  17.7  17.4  17.1 99.0 99.00
2017 02 05 17 30 133  3.0  3.4 99.00 99.00 99.00 999 1021.2  17.8  17.4  17.1 99.0 99.00
2017 02 05 18 00 142  3.1  3.7 99.00 99.00 99.00 999 1020.4  17.7  17.4  17.1 99.0 99.00
2017 02 05 18 30 135  2.9  3.4 99.00 99.00 99.00 999 1019.8  18.2  17.4  17.3 99.0 99.00
2017 02 05 19 00 140  3.2  3.8 99.00 99.00 99.00 999 1019.4  18.4  17.5  17.5 99.0 99.00
2017 02 05 19 30 141  3.4  3.8 99.00 99.00 99.00 999 1018.9  18.4  17.5  17.5 99.0 99.00
2017 02 05 20 00 129  2.9  3.4 99.00 99.00 99.00 999 1018.6  18.3  17.5  17.4 99.0 99.00
2017 02 05 20 30 129  3.2  3.6 99.00 99.00 99.00 999 1018.2  18.3  17.5  17.4 99.0 99.00
2017 02 05 21 00 119  2.6  3.1 99.00 99.00 99.00 999 1018.0  18.2  17.6  17.3 99.0 99.00
2017 02 05 21 30 125  2.1  2.8 99.00 99.00 99.00 999 1018.2  18.3  17.5  17.4 99.0 99.00
2017 02 05 22 00 132  2.0  2.5 99.00 99.00 99.00 999 1018.4  18.6  17.5  17.6 99.0 99.00
2017 02 05 22 30 129  2.3  2.6 99.00 99.00 99.00 999 1018.4  18.9  17.6  17.8 99.0 99.00
2017 02 05 23 00 135  3.1  3.5 99.00 99.00 99.00 999 1018.3  18.6  17.7  17.7 99.0 99.00
2017 02 05 23 30 134  3.1  3.6 99.00 99.00 99.00 999 1018.4  18.5  17.8  17.6 99.0 99.00
2017 02 06 00 00 139  3.1  3.7 99.00 99.00 99.00 999 1018.3  18.0  17.9  17.4 99.0 99.00
2017 02 06 00 30 135  2.6  3.2 99.00 99.00 99.00 999 1018.4  17.7  17.8  17.2 99.0 99.00
2017 02 06 01 00 999 99.0 99.0 99.00 99.00 99.00 999 1018.5  17.6  17.8  17.2 99.0 99.00
2017 02 06 01 30 127  2.7  3.1 99.00 99.00 99.00 999 1018.6  17.4  17.8  17.0 99.0 99.00
2017 02 06 02 00 125  3.0  3.4 99.00 99.00 99.00 999 1018.8  17.4  17.7  17.1 99.0 99.00
2017 02 06 02 30 137  3.4  4.0 99.00 99.00 99.00 999 1018.6  17.4  17.7  17.1 99.0 99.00
2017 02 06 03 00 148  3.9  4.5 99.00 99.00 99.00 999 1018.4  17.6  17.6  17.3 99.0 99.00
2017 02 06 03 30 153  4.4  5.1 99.00 99.00 99.00 999 1018.2  17.7  17.6  17.3 99.0 99.00
2017 02 06 04 00 155  4.8  5.7 99.00 99.00 99.00 999 1018.3  17.9  17.6  17.5 99.0 99.00
2017 02 06 04 30 155  4.1  4.7 99.00 99.00 99.00 999 1018.3  17.8  17.5  17.4 99.0 99.00
